eta,lambda_formal,lambda_informal,lambda_inf_pooled,lambda_form_lo,lambda_form_hi,lambda_inf_lo,lambda_inf_hi
.1,1.5999815,876.43311,678.21057,.32692808,6.2967896,27.007936,11525.655
.15000001,1.3679702,91.582504,77.192726,.47457132,3.4099352,9.0017633,510.24301
.2,1.2649038,29.604614,26.042477,.57177627,2.5093405,5.1969161,107.3576
.25,1.2068297,15.034449,13.568937,.63941216,2.0876019,3.7376323,42.137257
.30000001,1.1696026,9.5698748,8.7859392,.68889135,1.846601,3.000294,22.58856
.34999999,1.1437169,6.9306951,6.4411187,.72656095,1.691686,2.5644696,14.470245
.40000001,1.1246794,5.4410124,5.1031828,.75615889,1.5840898,2.2796745,10.361351
.44999999,1.1100918,4.5075183,4.2578673,.78001058,1.5051578,2.0802197,7.9908385
.5,1.0985579,3.8774281,3.6836038,.79963249,1.4448535,1.9332957,6.4913216
.55000001,1.0892105,3.4279919,3.2718513,.81605339,1.3973153,1.8208374,5.4762673
.60000002,1.0814817,3.0935214,2.9641085,.8299948,1.358897,1.7321357,4.7527423
.64999998,1.0749848,2.836129,2.7264311,.84197724,1.3272154,1.6604639,4.2157187
.69999999,1.069447,2.6326213,2.537936,.85238546,1.3006483,1.6013961,3.8039775
.75,1.0646708,2.4680986,2.3851478,.86150998,1.278054,1.5519063,3.479809
.80000001,1.0605091,2.3325977,2.2590225,.86957395,1.2586063,1.5098591,3.2189052
.85000002,1.0568504,2.2192295,2.153286,.87675196,1.2416924,1.4737056,3.0049899
.89999998,1.0536089,2.1230917,2.0634601,.88318211,1.2268487,1.4422966,2.826807
.94999999,1.0507171,2.0406094,1.9862704,.88897532,1.2137181,1.4147618,2.6763551
,,,,,,,
